Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.2,1148.6514917090424,1175.9886452855212,1188.3842853996116,1206.1555544494354,1227.203105553799,1256.0566453227439,1267.864133555982
0.3,1187.5981297516694,1216.0241458236949,1229.4450730581532,1248.1138409124264,1270.6623611703476,1301.6144217014191,1319.5009677545736
0.4,1229.184816919053,1259.1652413045683,1271.5665894273454,1291.1091963312617,1312.5756834572956,1344.0163064477747,1358.5411515753442
0.5,1270.5003374524933,1300.4974729161756,1313.5582938875343,1334.0575013074772,1354.7467886477905,1383.617666324169,1400.8543525506634
0.6,1314.051024921521,1342.8589976026874,1354.9259005279105,1375.0536378611691,1395.9850269862438,1425.3930798224462,1440.355941587791
0.7,1358.3501869260908,1387.0499931877837,1398.7410560089415,1417.9265974111267,1436.9830339815658,1463.885055242977,1478.4392768740938
0.8,1407.003193822733,1432.9775855822284,1443.5699963622378,1461.171046252131,1477.3902867054037,1500.3830932881567,1511.4096014841386
0.9,1458.4104323739593,1481.0425494120593,1489.9801411066646,1505.1432806007729,1519.2658334481848,1539.2201673266509,1549.061953212119
1.0,1521.693195647172,1532.2410589221706,1537.0743505196954,1547.5728412497335,1558.567772525472,1575.2027723889696,1583.8284474943932
