Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.400 ~ 0.500,1310.8528183979756,1343.9020035018198,1357.0931943428736,1378.7813193943553,1398.7840085056882,1426.3826909106422,1440.2887298851024
0.500 ~ 0.600,1325.5744991222866,1355.894449155956,1366.0727280098085,1385.306939543124,1404.1939933196386,1434.2848079166922,1446.553347385265
0.600 ~ 0.700,1339.4440421976212,1366.038994532972,1379.518833963346,1397.685117043241,1415.5234988952247,1438.9130969235273,1453.41877507
0.700 ~ 0.800,1350.6147937604114,1379.3086637868616,1386.5769285430324,1403.2139069154455,1420.95972184784,1449.4250400869673,1460.5329917550025
0.800 ~ 0.900,1363.7265008092804,1387.201457689253,1399.2665100195622,1416.6347936158384,1434.0344801628196,1457.558731054624,1471.6810665659782
0.900 ~ 1.000,1377.4914074917258,1399.527734724842,1405.0968630825269,1421.7231992492905,1440.4911158846166,1470.633565274611,1484.1883096258541
