Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.200,950.1267000143797,978.7310545518842,990.9684616036587,1021.277560838111,1045.3372623551745,1103.815402551126,1116.1910023267537
0.300,960.4692552895981,1020.1743584687429,1033.1807540833493,1063.9544525957033,1095.5624777632675,1148.8939574016658,1215.4462403396299
0.400,1034.4286429909764,1077.6584601743962,1091.2381860986568,1129.7729247628545,1176.4319324510361,1253.7771502647222,1305.0536752144928
0.500,1076.7383847711192,1121.2030313158273,1149.1383091366447,1188.6595079059477,1238.3537080287358,1311.5155694389732,1345.751232227646
0.600,1138.7861841009899,1172.6631955787961,1199.3951831500995,1260.745982342484,1292.2633280141526,1366.5655780554184,1403.0905084433234
0.700,1172.6344802815306,1260.9439946338866,1283.132292728426,1315.658554497614,1366.705882516624,1450.6505315635272,1489.032368171232
0.800,1302.025636287174,1358.10959849174,1386.8553460279156,1434.7852297251534,1506.8520929578037,1568.2624043295077,1607.9251080097124
0.900,1462.1074723851832,1529.2463195338232,1574.4449408376481,1627.5529174761082,1665.2513570359847,1740.0550035908163,1773.2823459078797
0.950,1573.3675276947624,1637.4544882693738,1655.5517502706448,1718.4081495600108,1772.8376848959274,1818.3673055966954,1835.4705914475667
0.990,1756.801132427618,1785.264152677699,1800.655293117281,1834.7469111041944,1849.284168788411,1862.1849501537383,1870.0964292987298
1.000,1835.6404148264683,1845.131122375255,1852.0435461747832,1857.1344854270792,1864.4318156087775,1875.5379233008994,1878.1222248651327
