Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.200,851.320387973082,894.0468920392359,917.6820805586318,950.2714976118205,989.0210083260384,1046.8915676819001,1073.1672244826768
0.300,909.4823164621754,962.4285101768995,985.7014327773838,1024.0576031606454,1070.0418880840264,1132.9803486873013,1164.0636751222387
0.400,971.050352603619,1021.2214928377622,1045.791050658565,1090.9752154961013,1132.9220866602657,1189.0647817901615,1230.8550707166155
0.500,1021.0817451963095,1083.973610341715,1111.6822979464077,1153.6431828043487,1202.6310107051859,1268.6419071223627,1303.8881761068058
0.600,1089.1477176200606,1149.3122095207166,1175.8841634895489,1229.5161627154114,1275.6055463002756,1342.119731631441,1379.7776646532589
0.700,1173.8778831861355,1237.8637116276186,1261.0582930081912,1309.6512661343797,1352.6452036071696,1417.1298689086145,1455.885624443159
0.800,1269.897420182451,1326.2375791680743,1356.6775514742815,1406.584349239589,1456.4381320272648,1525.8316625002308,1559.2859084540214
0.900,1411.477788486045,1487.7431553637014,1516.5500827479757,1564.070213843153,1614.8016728494122,1680.6632927522846,1720.766840554017
0.950,1544.7795026784197,1619.724911541058,1649.2665307700893,1692.6979693117587,1734.183211336255,1787.231154343815,1807.357345855648
0.990,1749.2143226902874,1796.9616570228902,1814.5987043974958,1844.874335500146,1877.6169460589986,1905.3713088871589,1912.388119057819
1.000,1866.248759751175,1880.6140693457585,1885.2899597634957,1894.810942120172,1904.4014987447488,1916.7156722845373,1922.8202054233464
