Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.200,824.291951460272,872.1475699065084,897.3444661674849,933.3861534146579,978.9594708410874,1038.918013320207,1072.0035466362572
0.300,903.2466956651277,953.0182797180654,980.795214038653,1021.3140387307461,1059.7296061339232,1126.0162070834679,1170.5819891971123
0.400,956.4725553213351,1032.6804253822531,1057.0285257791663,1099.5470607078062,1140.5092881022388,1206.9823025148353,1233.9959671033703
0.500,1034.6178459147538,1088.0726649663031,1111.1878113153186,1154.6511789723436,1206.4628968743293,1273.8385784913312,1309.6851653965216
0.600,1093.4002447287123,1156.3729405519064,1183.4315756493004,1226.0578289597922,1271.870320270868,1337.202391445329,1374.4799821725778
0.700,1168.961865122498,1230.1622765607246,1259.706251350462,1302.702677064538,1355.381787866374,1424.8915064061564,1455.2635133372453
0.800,1265.7144088221844,1333.664982557308,1361.7972377516617,1408.5854540157777,1454.3398879369101,1522.2058265121423,1554.3582774994866
0.900,1414.3990027067246,1482.9317477279744,1513.764130672234,1556.7623486071536,1600.29907993401,1656.321107354794,1681.4691312855937
0.950,1543.1890447869023,1608.2876653456449,1631.339160825283,1678.4982350056137,1720.4470689117254,1774.5903073978984,1797.6046270376853
0.990,1756.6556968714056,1808.5055398653185,1826.837846338336,1857.746593467898,1888.2209643336448,1927.9881774508856,1939.8905462976093
1.000,1897.823268460363,1913.6960161444306,1919.2168128956912,1928.793670341186,1937.6609995978934,1950.8304953446773,1957.3681151636838
