Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.400 ~ 0.500,1361.0838221776276,1380.0,1389.5993227563565,1400.0,1400.0,1437.461829062687,1451.0861265911797
0.500 ~ 0.600,1363.2163850553065,1380.0,1399.790681725541,1400.0,1413.212030221155,1442.269634784659,1453.3139792815932
0.600 ~ 0.700,1373.3265568828688,1390.6147186255052,1400.0,1400.0,1420.0,1447.1562747672992,1459.149896465159
0.700 ~ 0.800,1378.641476731656,1400.0,1400.0,1400.0,1420.0,1451.0861265911797,1466.680913977773
0.800 ~ 0.900,1380.0,1400.0,1400.0,1400.0,1422.9657593857514,1453.032562855478,1470.5109866297946
0.900 ~ 1.000,1392.7272727272727,1400.0,1400.0,1400.0,1430.9408205674267,1457.2699049058394,1476.2111764164135
