Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.400 ~ 0.500,1275.9871152576245,1322.8965870389748,1344.148968873512,1383.3247925518633,1426.4517099108245,1487.281345927347,1514.4633113428563
0.500 ~ 0.600,1301.936418403674,1350.1527724120651,1372.0667432810185,1411.0645082078781,1452.2014450429976,1510.4283204895735,1536.5243875584367
0.600 ~ 0.700,1329.8683232358208,1379.6089647059543,1401.2089662159392,1439.2774061715027,1478.482418452412,1532.2624561608452,1556.4726192763414
0.700 ~ 0.800,1359.569779635132,1408.3515017765606,1429.939442308935,1466.6127123292524,1504.1605215376076,1554.7560430409367,1577.5511673541253
0.800 ~ 0.900,1393.7370880179565,1440.7126184061128,1460.8149943173635,1495.0225307671087,1529.7307392201367,1576.8495238988564,1597.5872342999046
0.900 ~ 1.000,1430.4398222027655,1473.2261035340632,1491.9892951232985,1524.6054095302177,1556.3477951489326,1599.5359186660555,1619.0427507029697
