Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.400 ~ 0.500,1346.5526715814206,1377.8995917894501,1380.0,1398.8499774443092,1400.0,1420.0,1434.5224592842744
0.500 ~ 0.600,1360.065968938621,1380.0,1381.0840285005768,1400.0,1401.0840285005768,1420.1283725596127,1436.7441491381946
0.600 ~ 0.700,1361.1500225556908,1380.0,1383.1167142121385,1400.0,1402.2924653504917,1421.1500225556908,1437.9452129129065
0.700 ~ 0.800,1364.3316245679985,1381.1500225556908,1398.8499774443092,1400.0,1416.8050485820977,1425.0805647203756,1438.8499774443092
0.800 ~ 0.900,1378.9161778223724,1397.7733530258304,1400.0,1400.0,1418.8499774443092,1436.8045030402016,1440.0
0.900 ~ 1.000,1380.0,1400.0,1400.0,1400.6320565193678,1420.0,1438.7884512026758,1446.3658754884136
