Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.400 ~ 0.500,1342.6514816399444,1369.5733764596741,1380.0,1400.0,1417.5323305066925,1444.7939929569445,1460.8452330513849
0.500 ~ 0.600,1354.3521945585908,1378.790873809,1383.3771325051757,1400.0,1421.157157610587,1453.7212880544917,1471.0440235830265
0.600 ~ 0.700,1360.6383661208222,1381.1500225556908,1398.5703162039179,1404.8985746001597,1427.4928840644336,1460.2338720649414,1477.59977571366
0.700 ~ 0.800,1365.1640084410299,1392.994260702894,1400.0,1418.656459218978,1437.1811894507284,1469.3317773055455,1486.3784494325814
0.800 ~ 0.900,1379.807573010876,1400.0,1400.0,1420.7690335887207,1442.0774785662234,1475.3085027176028,1492.6208489801238
0.900 ~ 1.000,1386.9396669366336,1400.0,1411.4373708912321,1429.644355572573,1451.546752954708,1484.6549164901653,1500.285494086298
