Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.2,1453.2480634791568,1532.459700974883,1562.4004443400704,1624.949532563044,1658.3778820798354,1727.2727272727273,1763.6363636363637
0.3,1479.1208963873232,1563.0363227660093,1592.611548043332,1657.827746817641,1692.550237045184,1735.8907344265824,1800.0
0.4,1531.8484577225984,1592.611548043332,1624.949532563044,1658.3778820798354,1727.2727272727273,1774.2733597606414,1800.0
0.5,1533.8102355268497,1606.844700393512,1657.827746817641,1695.5437291986132,1727.2727272727273,1800.0,1800.0
0.6,1562.5356245091075,1642.1513160926966,1657.827746817641,1727.2727272727273,1737.827746817641,1800.0,1800.0
0.7,1593.1235553838123,1667.3584592120917,1726.9096366265696,1727.2727272727273,1800.0,1800.0,1807.2727272727273
0.8,1657.827746817641,1727.2727272727273,1727.2727272727273,1763.6363636363637,1800.0,1800.0,1807.2727272727273
0.9,1699.3689745922302,1727.2934047147126,1767.2727272727273,1800.0,1800.0,1807.2727272727273,1807.2727272727273
1.0,1800.0,1800.0,1800.0,1800.0,1800.0,1807.2727272727273,1807.2727272727273
