Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.200,1671.0533338380492,1733.2464865704453,1733.2464865704453,1800.0,1800.0,1800.0,1800.0
0.300,1698.3684432022471,1733.2464865704453,1739.6986083179181,1800.0,1800.0,1800.0,1800.0
0.400,1733.2464865704453,1733.2464865704453,1763.6363636363637,1800.0,1800.0,1800.0,1800.0
0.500,1733.2464865704453,1733.2464865704453,1800.0,1800.0,1800.0,1800.0,1800.0
0.600,1733.2464865704453,1763.6363636363637,1800.0,1800.0,1800.0,1800.0,1800.0
0.700,1733.2464865704453,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
0.800,1733.2464865704453,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
0.900,1733.4490990606416,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
0.950,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1813.2464865704453
0.990,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1.000,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
