Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.200,1053.9391160381172,1086.8106643190988,1101.0139082568116,1125.8144611099874,1154.6748851669076,1205.3186078946526,1232.9089791733998
0.300,1086.1101878496488,1128.9279565178845,1148.6662038738104,1179.20347360647,1210.685478271687,1266.4823281209976,1293.7634122637194
0.400,1128.338704354316,1170.1306682469417,1192.4066286241614,1225.7161654495235,1266.9943016650614,1321.9421083278,1349.0907291373758
0.500,1171.5035162477868,1224.9899787593167,1246.800760410535,1284.4352002449973,1327.9712607894419,1402.3870207307373,1436.8322302742563
0.600,1218.3537105991606,1284.0011066673385,1310.9812385185414,1354.7798729029641,1401.5549283564658,1477.5501402032526,1514.9575214046226
0.700,1297.374916933519,1357.1980526858224,1387.7438557797207,1438.946666950268,1493.1900588576877,1573.5698267072394,1612.2669299861661
0.800,1376.5713128689692,1451.8933189417958,1489.5492321754464,1538.9224670549208,1594.4552668980723,1669.2830276894013,1707.705882644947
0.900,1520.6791641028988,1595.209675142926,1626.4098770968815,1675.8027539637503,1722.3279216775204,1775.798813931188,1806.8478257410545
0.950,1618.6426370812821,1692.7877610784176,1714.0333854281207,1756.7071505906986,1785.6864282909373,1830.01553747486,1836.0654340304034
0.990,1749.9599139673992,1787.8255524815863,1814.2388543900713,1824.1479866633924,1831.0574778375208,1841.6514650611634,1846.10459205231
1.000,1813.1590169099884,1819.7817332020782,1823.1441002937527,1828.771656877683,1835.5028117534046,1843.5189980505838,1848.6835648202177
