Accuracy,5% Percentile,20% Percentile,30% Percentile,50% Percentile,70% Percentile,90% Percentile,95% Percentile
0.200,820.2838976442101,885.0987600523448,912.8961094954619,955.9411875631679,999.1272358657382,1062.605127469898,1090.6758099545332
0.300,920.7306189962462,982.5095187525301,1009.9671394781059,1052.9210955360418,1096.1804728762984,1155.9304676470142,1180.158887591762
0.400,985.7071521797019,1050.9870685692945,1076.4079264369157,1117.815572871499,1163.9210272824341,1226.8791102213518,1260.6116798688013
0.500,1054.7192380881606,1121.193961649131,1145.130078884587,1180.5352825269351,1227.819054756861,1285.6737012686447,1320.1991439547876
0.600,1121.196736640544,1181.961293961742,1209.0675729358966,1251.3313100704281,1294.832826440567,1358.518968519162,1390.212702463819
0.700,1185.774795318857,1253.0868071580555,1280.6469163723684,1326.2873181457228,1376.838115043965,1440.9005486016802,1471.6207325507983
0.800,1269.1656504124887,1343.2241177807946,1371.3886063958587,1416.2599143386499,1463.7822056605967,1531.7204944520263,1569.6110773070084
0.900,1413.4917703545016,1483.875963652799,1511.6113847886716,1559.5589718611545,1605.532444461828,1666.4880335129399,1697.6448290278906
0.950,1543.1831787200606,1613.8907519069978,1638.628673613578,1680.333263160349,1723.5080557488222,1775.3540950556408,1794.4746009651944
0.990,1754.7769943897426,1809.67013714278,1831.9256604499305,1869.0945815998111,1906.707842144652,1955.0477234649177,1968.8072125196302
1.000,1947.2663849036537,1964.413987044992,1970.0016927174863,1980.396285814556,1989.494068166299,2005.5646275255265,2012.6172051906226
